Date/Time,Location,Race,Gender,IDOT Classification,Reason for Stop,Citations/Violations,Disposition,Search
4/12/2016 3:01 PM,5500 S Ellis,African American,Female,Lane Violation,Improper passing,N/A,Verbal Warning,No
4/13/2016 12:58 PM,5500 block of S Ellis,Caucasian,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
4/13/2016 4:12 PM,5700 block of Woodlawn,Caucasian,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
4/13/2016 4:28 PM,5700 block of Greenwood,Caucasian,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
4/15/2016 11:28 AM,5100 S Dorchester,Caucasian,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
4/15/2016 1:01 PM,5735 S Ellis,Caucasian,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
4/15/2016 8:30 PM,61st and Woodlawn,African American,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
4/17/2016 2:56 PM,Midway Plaisance and Woodlawn,African American,Male,Lane Violation,Improper passing,N/A,Verbal Warning,No
4/21/2016 5:14 PM,5700 S Ellis,Caucasian,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
4/22/2016 4:22 PM,5706 S University,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
4/22/2016 4:55 PM,5700 S University,Hispanic,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
4/22/2016 5:57 PM,1316 E Madison Park Ave,Caucasian,Male,Lane Violation,Wrong way on one way street,One citation issued for driving the wrong way on a one way street,Citation Issued,No
4/22/2016 6:20 PM,4700 S Ellis,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
4/26/2016 4:38 AM,5600 S Harper,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
4/27/2016 1:40 PM,5400 S Drexel ,African American,Male,Lane Violation,Improper lane usage,One citation issued for improper lane usage,"Citation Issued, Arrested on Active Warrant",No
4/29/2016 8:27 PM,4100 S Cottage Grove,African American,Female,Speed,Speeding - too fast for conditions,N/A,Verbal Warning,No
5/1/2016 3:29 PM,Midway & Dorchester,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
5/2/2016 10:17 AM,5300 S Kimbark,Caucasian,Male,Moving Violation - Other,Failure to yield,N/A,Verbal Warning,No
5/4/2016 11:15 AM,6300 S Drexel,African American,Female,Traffic Sign/Signal,Disobeyed no left turn sign,N/A,Verbal Warning,No
5/4/2016 12:18 PM,5735 S Ellis,Caucasian,Female,Traffic Sign/Signal,Ran stop sign,Two citations issued for disobeying traffic sign and failure to yield to pedestrian crossing,Citation Issued,No
5/5/2016 5:36 PM,5000 S Dorchester,African American,Male,Speed,Speeding in school zone,N/A,Verbal Warning,No
5/6/2016 9:46 AM,5400 S Ellis,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,One citation issued for disobeying traffic control device,Citation Issued,No
5/7/2016 1:21 AM,5300 S University,Caucasian,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
5/8/2016 1:01 PM,5500 S University,African American,Male,Traffic Sign/Signal,Passing in no passing zone and failure to yield to pedestrian in crosswalk,N/A,Verbal Warning,No
5/9/2016 4:19 PM,5837 S Maryland,Caucasian,Male,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
5/12/2016 11:27 AM,5830 S Ellis,Caucasian,Female,Lane Violation,Improper U-Turn,N/A,Verbal Warning,No
5/13/2016 8:55 AM,6300 S Dorchester,African American,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
5/13/2016 5:00 PM,5706 S University,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
5/16/2016 8:16 PM,5500 Cornell,African American,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
5/17/2016 4:45 PM,5800 S Greenwood,Caucasian,Male,Lane Violation,Improper lane usage,N/A,Verbal Warning,No
5/17/2016 11:28 PM,5700 Hyde Park Blvd,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
5/18/2016 8:31 AM,5036 S Blackstone,Caucasian,Female,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
5/22/2016 9:11 PM,5100 Dorchester,African American,Male,Moving Violation - Other,Driving with rear door left open,N/A,Verbal Warning,No
5/23/2016 10:35 AM,5050 Lake Shore Drive,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
5/23/2016 12:03 PM,5800 Cottage Grove,African American,Female,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
5/23/2016 12:28 PM,5400 Cottage Grove,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
5/23/2016 5:32 PM,5200 Lake Park,American Indian/Alaskan Native,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
5/27/2016 10:25 PM,5700 S Hyde Park Blvd,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
5/28/2016 7:11 AM,5900 Ellis,Hispanic,Male,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
